Date,Host,Service,@ably_sno,ably_market_sno,consumer_origin,@price_origin,@consumer_price_adjustment.discount_type,@consumer_price_adjustment.discount_rate,@consumer_price_adjustment.discount_price,@consumer_price_adjustment.started_at,@consumer_price_adjustment.ended_at,Message
"2025-01-13T05:06:21.668Z","ip-172-31-255-142.ap-northeast-2.compute.internal-ably-prod","seller-api","1426364","10910","55900","39800",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:06:20.377Z","ip-172-31-197-243.ap-northeast-2.compute.internal-ably-prod","seller-api","32242059","14557",,,,,,,,"update_seller_goods"
"2025-01-13T05:06:20.225Z","ip-172-31-225-245.ap-northeast-2.compute.internal-ably-prod","seller-api","1426322","10910","55900","39800",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:06:19.225Z","ip-172-31-198-123.ap-northeast-2.compute.internal-ably-prod","seller-api","1426321","10910","55900","39800",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:06:17.666Z","ip-172-31-255-142.ap-northeast-2.compute.internal-ably-prod","seller-api","1396816","10910","104000","72900",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:06:16.643Z","ip-172-31-236-92.ap-northeast-2.compute.internal-ably-prod","seller-api","2210247","10910","42800","29800",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:06:10.665Z","ip-172-31-255-142.ap-northeast-2.compute.internal-ably-prod","seller-api","2047588","10910","28900","21600",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:06:10.043Z","ip-172-31-208-221.ap-northeast-2.compute.internal-ably-prod","seller-api","32242059","14557",,,,,,,,"update_seller_goods"
"2025-01-13T05:05:57.222Z","ip-172-31-225-245.ap-northeast-2.compute.internal-ably-prod","seller-api","32242059","14557",,,,,,,,"update_seller_goods"
"2025-01-13T05:05:52.639Z","ip-172-31-236-92.ap-northeast-2.compute.internal-ably-prod","seller-api","21895764","11487",,,,,,,,"update_seller_goods"
"2025-01-13T05:05:31.295Z","ip-172-31-235-174.ap-northeast-2.compute.internal-ably-prod","seller-api","21895764","11487",,,,,,,,"update_seller_goods"
"2025-01-13T05:05:04.017Z","ip-172-31-208-221.ap-northeast-2.compute.internal-ably-prod","seller-api","32242059","14557",,,,,,,,"update_seller_goods"
"2025-01-13T05:04:39.351Z","ip-172-31-253-104.ap-northeast-2.compute.internal-ably-prod","seller-api","32242059","14557",,,,,,,,"update_seller_goods"
"2025-01-13T05:04:06.623Z","ip-172-31-236-92.ap-northeast-2.compute.internal-ably-prod","seller-api","32242059","14557",,,,,,,,"update_seller_goods"
"2025-01-13T05:03:52.095Z","ip-172-31-235-177.ap-northeast-2.compute.internal-ably-prod","seller-api","32242059","14557",,,,,,,,"update_seller_goods"
"2025-01-13T05:03:46.714Z","ip-172-31-247-108.ap-northeast-2.compute.internal-ably-prod","seller-api","14954533","10910","59000","42900",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:03:34.200Z","ip-172-31-225-245.ap-northeast-2.compute.internal-ably-prod","seller-api","32242059","14557",,,,,,,,"update_seller_goods"
"2025-01-13T05:03:33.616Z","ip-172-31-236-92.ap-northeast-2.compute.internal-ably-prod","seller-api","14954530","10910","59000","42900",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:03:21.197Z","ip-172-31-225-245.ap-northeast-2.compute.internal-ably-prod","seller-api","14954519","10910","59000","42900",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:03:08.946Z","ip-172-31-208-221.ap-northeast-2.compute.internal-ably-prod","seller-api","14949060","10910","52000","38900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:57:57.483Z","ip-172-31-231-180.ap-northeast-2.compute.internal-ably-prod","seller-api","14374858","10910","57000","38900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:57:55.213Z","ip-172-31-215-156.ap-northeast-2.compute.internal-ably-prod","seller-api","14374854","10910","57000","38900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:57:53.603Z","ip-172-31-253-104.ap-northeast-2.compute.internal-ably-prod","seller-api","14374853","10910","57000","38900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:57:50.704Z","ip-172-31-225-245.ap-northeast-2.compute.internal-ably-prod","seller-api","14374838","10910","55000","38900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:57:48.820Z","ip-172-31-198-123.ap-northeast-2.compute.internal-ably-prod","seller-api","14374831","10910","55000","38900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:57:46.480Z","ip-172-31-231-180.ap-northeast-2.compute.internal-ably-prod","seller-api","14374818","10910","59000","43900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:57:43.460Z","ip-172-31-215-156.ap-northeast-2.compute.internal-ably-prod","seller-api","14374805","10910","59000","43900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:57:41.819Z","ip-172-31-198-123.ap-northeast-2.compute.internal-ably-prod","seller-api","14374800","10910","59000","43900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:57:40.600Z","ip-172-31-253-104.ap-northeast-2.compute.internal-ably-prod","seller-api","14374786","10910","59000","42900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:57:38.213Z","ip-172-31-235-174.ap-northeast-2.compute.internal-ably-prod","seller-api","14374769","10910","59000","42900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:53:26.165Z","ip-172-31-235-174.ap-northeast-2.compute.internal-ably-prod","seller-api","13009300","10910","59000","43900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:53:24.544Z","ip-172-31-253-104.ap-northeast-2.compute.internal-ably-prod","seller-api","6161500","10910","57900","43900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:53:23.387Z","ip-172-31-253-206.ap-northeast-2.compute.internal-ably-prod","seller-api","13009299","10910","59000","43900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:53:22.660Z","ip-172-31-225-245.ap-northeast-2.compute.internal-ably-prod","seller-api","6161499","10910","57900","43900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:53:21.165Z","ip-172-31-235-174.ap-northeast-2.compute.internal-ably-prod","seller-api","13009298","10910","59000","43900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:53:20.050Z","ip-172-31-215-156.ap-northeast-2.compute.internal-ably-prod","seller-api","13009297","10910","59000","43900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:53:19.779Z","ip-172-31-198-123.ap-northeast-2.compute.internal-ably-prod","seller-api","6161498","10910","57900","43900",,,,,,"vendor_seller_update_goods"
